Date,Open,High,Low,Close,Adj Close,Volume
2018-01-23,88.250000,88.459999,87.739998,88.300003,84.786263,10281800
2018-01-24,88.489998,88.919998,88.010002,88.529999,85.007103,10316100
2018-01-25,88.550003,88.870003,88.199997,88.370003,84.853477,11271900
2018-01-26,88.639999,89.000000,88.470001,89.000000,85.458405,10514400
2018-01-29,88.589996,89.300003,87.949997,88.010002,84.507805,9315700
2018-01-30,87.540001,88.379997,86.779999,86.779999,83.326744,12408000
2018-01-31,86.559998,87.470001,86.330002,87.300003,83.826057,14404700
2018-02-01,87.500000,89.250000,87.349998,89.070000,85.525612,17971000
2018-02-02,85.129997,86.010002,83.000000,84.529999,81.166283,29822100
2018-02-05,83.279999,83.989998,78.129997,79.720001,76.547676,30452700
2018-02-06,78.510002,80.349998,76.900002,78.349998,75.232193,36262800
2018-02-07,78.440002,79.410004,76.919998,76.940002,73.878311,21994500
2018-02-08,77.440002,77.580002,76.029999,76.070000,73.042931,25650800
2018-02-09,76.250000,76.480003,73.900002,75.779999,73.508545,29491600
2018-02-12,77.050003,77.620003,75.839996,76.419998,74.129364,19340400
2018-02-13,76.099998,76.750000,75.730003,76.300003,74.012955,11926600
2018-02-14,75.790001,76.660004,75.169998,76.459999,74.168159,17188400
2018-02-15,76.620003,76.699997,75.449997,76.209999,73.925652,14432400
2018-02-16,76.150002,77.120003,75.849998,76.540001,74.245766,13722400
2018-02-20,76.470001,77.470001,75.459999,75.750000,73.479446,13387300
2018-02-21,75.820000,76.440002,74.870003,74.889999,72.645226,11715000
2018-02-22,75.300003,76.839996,75.190002,75.860001,73.586143,14020200
2018-02-23,76.089996,77.620003,75.949997,77.529999,75.206093,13378800
2018-02-26,77.739998,78.930000,77.559998,78.839996,76.476822,16940400
2018-02-27,79.000000,79.870003,77.500000,77.500000,75.176987,14629500
2018-02-28,78.160004,78.250000,75.699997,75.739998,73.469742,17087800
2018-03-01,75.529999,76.680000,74.860001,75.199997,72.945923,15696700
2018-03-02,74.889999,75.870003,74.480003,75.550003,73.285439,15630300
2018-03-05,75.230003,76.559998,75.120003,76.269997,73.983856,14891000
2018-03-06,76.669998,76.980003,75.860001,76.180000,73.896553,10754300
2018-03-07,75.000000,75.239998,73.559998,74.260002,72.034103,27255500
2018-03-08,74.500000,74.769997,73.690002,74.120003,71.898308,19299800
2018-03-09,74.820000,75.059998,74.209999,74.559998,72.325111,19714100
2018-03-12,74.870003,75.580002,74.690002,75.239998,72.984734,14226700
2018-03-13,75.330002,75.820000,74.250000,74.529999,72.296013,13739700
2018-03-14,74.639999,74.790001,73.529999,73.599998,71.393883,14820700
2018-03-15,74.349998,75.000000,74.099998,74.419998,72.189301,15640600
2018-03-16,74.360001,75.120003,74.360001,75.120003,72.868324,32109700
2018-03-19,75.000000,75.010002,73.860001,74.150002,71.927399,12744800
2018-03-20,74.220001,74.699997,73.949997,73.989998,71.772202,13003200
2018-03-21,74.230003,75.639999,73.980003,75.040001,72.790726,14813800
2018-03-22,74.419998,74.699997,73.389999,73.500000,71.296883,17737000
2018-03-23,73.809998,74.209999,72.669998,72.889999,70.705162,20157300
2018-03-26,73.650002,74.150002,72.750000,74.000000,71.781898,15032700
2018-03-27,74.000000,74.889999,73.279999,73.699997,71.490883,15821900
2018-03-28,73.739998,74.010002,72.779999,72.809998,70.627563,18163900
2018-03-29,73.330002,74.889999,73.260002,74.610001,72.373619,14882900
2018-04-02,74.269997,74.400002,72.160004,73.220001,71.025276,17891100
2018-04-03,73.449997,75.139999,73.099998,75.019997,72.771324,15999200
2018-04-04,74.050003,75.059998,73.440002,74.870003,72.625816,13122200
2018-04-05,75.059998,76.320000,75.019997,76.019997,73.741348,14200000
2018-04-06,75.639999,76.120003,74.220001,74.870003,72.625816,14299600
2018-04-09,75.220001,75.790001,74.800003,74.870003,72.625816,11103100
2018-04-10,76.080002,77.769997,76.059998,77.070000,74.759880,19006100
2018-04-11,77.110001,78.040001,76.750000,77.430000,75.109085,13734000
2018-04-12,77.860001,78.139999,77.010002,77.220001,74.905380,13270400
2018-04-13,77.800003,78.190002,77.599998,77.839996,75.506790,10925000
2018-04-16,78.120003,79.080002,77.709999,78.540001,76.185814,10743600
2018-04-17,78.540001,78.760002,78.040001,78.330002,75.982117,9340700
2018-04-18,79.040001,79.760002,78.940002,79.220001,76.845436,12061400
2018-04-19,79.320000,79.820000,78.809998,79.419998,77.039436,11291500
2018-04-20,79.320000,79.400002,78.330002,79.000000,76.632019,12072200
2018-04-23,78.919998,79.599998,78.750000,79.570000,77.184944,11729800
2018-04-24,79.800003,79.930000,77.970001,78.349998,76.001503,14102000
2018-04-25,78.199997,79.620003,77.489998,79.500000,77.117043,13867500
2018-04-26,79.599998,80.900002,79.529999,80.860001,78.436272,14554400
2018-04-27,76.949997,78.650002,76.480003,77.790001,75.458298,16346800
2018-04-30,77.910004,78.559998,77.739998,77.750000,75.419487,15028800
2018-05-01,77.260002,77.260002,75.980003,76.949997,74.643478,16231000
2018-05-02,76.449997,77.230003,76.300003,76.800003,74.497978,13883700
2018-05-03,76.389999,76.610001,75.400002,76.540001,74.245766,12243100
2018-05-04,76.129997,77.220001,75.940002,76.900002,74.594971,9887200
2018-05-07,77.739998,79.080002,77.400002,77.739998,75.409790,15071500
2018-05-08,77.800003,78.160004,76.370003,78.089996,75.749298,17430400
2018-05-09,78.980003,80.239998,78.949997,79.930000,77.534149,17142100
2018-05-10,80.639999,81.790001,80.500000,81.720001,79.270500,17710300
2018-05-11,81.180000,81.970001,80.910004,81.279999,79.642845,14751000
2018-05-14,81.699997,82.320000,81.610001,81.830002,80.181770,11852100
2018-05-15,81.849998,82.029999,81.400002,81.790001,80.142570,12595700
2018-05-16,81.760002,82.050003,81.169998,82.019997,80.367928,9570000
2018-05-17,82.199997,82.279999,81.440002,81.879997,80.230759,11224100
2018-05-18,81.550003,81.800003,81.260002,81.300003,79.662445,10030900
2018-05-21,81.730003,82.349998,81.519997,82.279999,80.622696,8822400
2018-05-22,82.440002,82.650002,81.349998,81.639999,79.995590,10753400
2018-05-23,80.949997,82.230003,80.570000,82.150002,80.495316,15140900
2018-05-24,81.349998,81.360001,79.949997,80.269997,78.653183,13360500
2018-05-25,79.279999,79.330002,78.089996,78.709999,77.124611,14562000
2018-05-29,78.150002,78.730003,77.529999,78.419998,76.840446,14644800
2018-05-30,79.250000,81.660004,79.220001,81.500000,79.858406,16627500
2018-05-31,80.809998,81.550003,80.690002,81.239998,79.603645,15803100
2018-06-01,81.870003,82.349998,81.550003,81.830002,80.181770,9906100
2018-06-04,82.050003,82.529999,80.809998,80.970001,79.339081,10954700
2018-06-05,80.589996,81.650002,80.410004,80.680000,79.054924,12059300
2018-06-06,81.480003,82.089996,80.870003,82.059998,80.407127,11603300
2018-06-07,82.730003,83.290001,82.559998,82.879997,81.210617,13502500
2018-06-08,83.110001,83.660004,82.500000,83.599998,81.916107,14350400
2018-06-11,83.720001,83.790001,82.930000,83.099998,81.426178,10831600
2018-06-12,83.110001,83.750000,82.320000,82.419998,80.759880,12351800
2018-06-13,82.440002,82.599998,81.470001,81.510002,79.868210,12049300
2018-06-14,81.940002,82.300003,81.500000,81.889999,80.240555,11477300
2018-06-15,81.720001,81.820000,80.510002,80.660004,79.035332,23797500
2018-06-18,80.400002,81.379997,80.300003,80.820000,79.192108,9192600
2018-06-19,79.889999,80.959999,79.709999,80.699997,79.074524,8759700
2018-06-20,80.849998,81.129997,80.269997,80.449997,78.829552,8917700
2018-06-21,80.019997,80.379997,79.330002,79.690002,78.084869,10990700
2018-06-22,81.160004,81.940002,80.919998,81.379997,79.740829,16012200
2018-06-25,80.779999,81.239998,79.300003,79.739998,78.133858,10557200
2018-06-26,80.150002,81.010002,79.970001,80.639999,79.015732,10382800
2018-06-27,81.059998,82.480003,81.059998,81.709999,80.064178,12725900
2018-06-28,81.730003,82.070000,81.029999,81.970001,80.318939,9390700
2018-06-29,82.449997,83.540001,82.290001,82.730003,81.063637,17323200
2018-07-02,81.889999,82.129997,81.320000,81.760002,80.113174,9998300
2018-07-03,82.580002,83.449997,82.080002,82.239998,80.583504,7197300
2018-07-05,82.589996,82.769997,82.050003,82.309998,80.652092,9035700
2018-07-06,81.959999,82.699997,81.660004,82.330002,80.671700,7637100
2018-07-09,82.809998,83.129997,82.559998,82.900002,81.230217,7158600
2018-07-10,83.699997,84.120003,83.510002,83.660004,81.974907,8806200
2018-07-11,83.029999,83.529999,82.029999,82.589996,80.926453,10405300
2018-07-12,83.010002,83.239998,82.309998,82.690002,81.024445,9762200
2018-07-13,82.680000,83.750000,82.559998,83.309998,81.631950,8720000
2018-07-16,82.519997,82.790001,82.000000,82.489998,80.828461,8306900
2018-07-17,82.260002,82.750000,82.040001,82.309998,80.652092,7373300
2018-07-18,81.800003,82.320000,81.489998,82.220001,80.563911,8711900
2018-07-19,82.199997,82.620003,81.720001,82.010002,80.358139,8659100
2018-07-20,81.720001,81.930000,81.250000,81.400002,79.760429,9196300
2018-07-23,81.949997,82.000000,81.180000,81.400002,79.760429,8425900
2018-07-24,81.519997,83.019997,81.480003,83.010002,81.337997,11121000
2018-07-25,83.010002,83.739998,82.510002,83.589996,81.906303,9523600
2018-07-26,83.830002,84.400002,83.370003,84.239998,82.543221,13210100
2018-07-27,80.970001,82.379997,80.809998,81.919998,80.269951,18220800
2018-07-30,82.129997,82.129997,80.709999,81.739998,80.093575,11282800
2018-07-31,81.639999,82.150002,81.440002,81.510002,79.868210,11716800
2018-08-01,80.889999,80.930000,80.220001,80.389999,78.770775,8936300
2018-08-02,79.889999,80.260002,79.449997,79.910004,78.300438,8364300
2018-08-03,79.970001,80.300003,79.629997,80.199997,78.584595,7811100
2018-08-06,80.250000,80.430000,79.739998,80.180000,78.565002,10041800
2018-08-07,80.910004,81.589996,80.309998,81.269997,79.633041,10698100
2018-08-08,81.019997,81.230003,80.349998,80.730003,79.103928,7275000
2018-08-09,80.730003,80.910004,80.110001,80.320000,78.702179,9826800
2018-08-10,79.510002,79.519997,78.860001,79.419998,78.622978,12954300
2018-08-13,79.449997,79.750000,78.430000,78.559998,77.771606,10308500
2018-08-14,78.989998,79.070000,78.080002,78.309998,77.524117,8005900
2018-08-15,77.779999,77.900002,76.510002,76.940002,76.167870,16307800
2018-08-16,77.279999,78.099998,77.199997,78.000000,77.217232,11519900
2018-08-17,78.339996,78.489998,77.800003,78.260002,77.474625,10178400
2018-08-20,78.260002,79.000000,78.169998,78.809998,78.019096,8152100
2018-08-21,79.050003,79.580002,78.669998,78.830002,78.038902,9192200
2018-08-22,79.110001,80.050003,79.019997,79.959999,79.157562,10098200
2018-08-23,79.559998,79.629997,78.900002,79.080002,78.286392,7203900
2018-08-24,79.519997,80.050003,79.419998,79.620003,78.820976,6545200
2018-08-27,79.910004,80.470001,79.860001,80.400002,79.593147,6671900
2018-08-28,80.580002,80.820000,80.199997,80.279999,79.474350,8823400
2018-08-29,80.440002,81.040001,80.099998,80.860001,80.048531,8004800
2018-08-30,80.449997,80.779999,80.120003,80.510002,79.702042,7450900
2018-08-31,80.239998,80.459999,79.769997,80.169998,79.365448,10700000
2018-09-04,80.410004,80.690002,79.809998,80.290001,79.484253,8855000
2018-09-05,79.900002,81.430000,79.599998,81.360001,80.543510,13878400
2018-09-06,81.110001,81.639999,80.339996,80.459999,79.652542,13320600
2018-09-07,80.150002,81.930000,79.820000,81.830002,81.008797,16417800
2018-09-10,82.239998,82.739998,81.660004,81.709999,80.889999,10817900
2018-09-11,81.959999,83.190002,81.629997,82.860001,82.028458,11891900
2018-09-12,83.250000,83.779999,82.870003,83.129997,82.295746,11556300
2018-09-13,83.150002,83.250000,82.010002,82.320000,81.493874,11162700
2018-09-14,82.419998,83.150002,82.269997,82.919998,82.087852,9442600
2018-09-17,83.000000,83.610001,82.989998,83.410004,82.572945,8403300
2018-09-18,83.900002,84.129997,83.449997,83.629997,82.790726,9219900
2018-09-19,83.639999,84.769997,83.639999,84.629997,83.780693,10413600
2018-09-20,84.860001,85.339996,84.540001,84.820000,83.968788,11198200
2018-09-21,85.010002,85.430000,84.519997,85.169998,84.315277,26639400
2018-09-24,85.790001,87.089996,85.720001,86.599998,85.730927,13549500
2018-09-25,87.029999,87.360001,86.370003,86.500000,85.631927,12200700
2018-09-26,86.019997,86.500000,85.690002,85.779999,84.919151,10275500
2018-09-27,86.089996,86.379997,85.589996,85.769997,84.909248,7895400
2018-09-28,85.250000,85.930000,84.989998,85.019997,84.166779,9884900
2018-10-01,85.349998,86.029999,85.260002,85.809998,84.948853,8566900
2018-10-02,85.800003,86.669998,85.620003,86.459999,85.592331,8453100
2018-10-03,86.510002,86.889999,85.980003,86.150002,85.285439,10206700
2018-10-04,85.500000,86.080002,85.250000,85.580002,84.721161,10204600
2018-10-05,85.309998,85.699997,84.930000,85.339996,84.483566,9217400
2018-10-08,84.790001,86.309998,84.650002,86.129997,85.265640,13242400
2018-10-09,86.379997,86.879997,85.739998,86.510002,85.641830,10177900
2018-10-10,86.730003,86.820000,84.500000,84.519997,83.671799,16573400
2018-10-11,83.940002,84.169998,81.169998,81.599998,80.781097,20320100
2018-10-12,82.129997,82.239998,80.269997,81.379997,80.563309,15216300
2018-10-15,81.379997,81.739998,80.820000,80.820000,80.008926,10558800
2018-10-16,80.510002,81.269997,80.010002,81.199997,80.385117,9781800
2018-10-17,80.940002,81.519997,80.339996,81.500000,80.682106,12247700
2018-10-18,81.199997,82.470001,81.199997,81.849998,81.028595,17448600
2018-10-19,81.660004,82.459999,81.510002,81.970001,81.147392,12098700
2018-10-22,82.000000,82.180000,80.639999,81.150002,80.335617,9474100
2018-10-23,80.059998,80.459999,78.720001,79.839996,79.038757,15465100
2018-10-24,80.129997,80.260002,77.550003,77.620003,76.841049,16085700
2018-10-25,78.489998,79.050003,77.739998,78.309998,77.524117,12315500
2018-10-26,77.870003,78.410004,76.959999,77.529999,76.751945,18160100
2018-10-29,78.070000,78.430000,76.220001,77.050003,76.276764,15707000
2018-10-30,77.620003,79.029999,77.419998,78.779999,77.989403,17758200
2018-10-31,79.339996,80.349998,78.900002,79.680000,78.880371,16629100
2018-11-01,79.830002,80.750000,79.300003,80.669998,79.860435,14159300
2018-11-02,81.760002,82.449997,80.230003,81.949997,81.127586,19350400
2018-11-05,82.500000,82.870003,81.440002,81.639999,80.820702,15815000
2018-11-06,81.739998,82.099998,81.349998,81.989998,81.167183,9063200
2018-11-07,82.209999,83.139999,81.660004,83.029999,82.196747,12699800
2018-11-08,83.129997,83.750000,81.540001,81.709999,80.889999,16865500
2018-11-09,80.260002,81.400002,79.690002,80.870003,80.870003,15070100
2018-11-12,81.660004,81.730003,79.730003,79.830002,79.830002,11906600
2018-11-13,79.800003,79.849998,77.639999,78.000000,78.000000,15530200
2018-11-14,78.860001,79.089996,76.750000,77.389999,77.389999,18552100
2018-11-15,76.669998,78.190002,75.910004,78.190002,78.190002,18976000
2018-11-16,78.370003,79.190002,78.099998,78.959999,78.959999,13704900
2018-11-19,78.459999,79.360001,78.430000,79.220001,79.220001,9430800
2018-11-20,78.419998,78.900002,76.370003,76.970001,76.970001,15533700
2018-11-21,77.430000,78.379997,77.260002,77.559998,77.559998,9685300
2018-11-23,76.050003,76.199997,74.699997,75.489998,75.489998,10875400
2018-11-26,76.239998,77.320000,76.120003,76.980003,76.980003,13069500
2018-11-27,76.570000,77.449997,76.400002,77.050003,77.050003,10344500
2018-11-28,77.040001,78.449997,76.839996,78.449997,78.449997,11482100
2018-11-29,78.220001,79.529999,78.190002,79.059998,79.059998,10255200
2018-11-30,78.449997,79.599998,78.320000,79.500000,79.500000,14040100
2018-12-03,80.239998,81.459999,80.139999,81.220001,81.220001,19415100
2018-12-04,81.379997,81.949997,79.349998,79.430000,79.430000,18540700
2018-12-06,78.000000,78.440002,76.919998,78.389999,78.389999,23218100
2018-12-07,79.389999,80.360001,77.330002,77.639999,77.639999,16099700
